,Index,Title,Link,Description
0,0,Bulk fracture anisotropy in Cold-Sprayed Al 6061 deposits ...,https://www.sciencedirect.com/science/article/abs/pii/S0013794422000649,"Mar 15, 2022 ... ... Al 6061 cold spray deposits. Tensile ... Luzin et al. Residual stress and thermo-mechanical properties of cold spray metal coatings ..."
1,1,Aluminium 6061 - SPEE3D 3D Metal Printing,https://www.spee3d.com/material/aluminium-alloy-6061-spd/,Composition and mechanical properties may vary. End-use material performance is impacted (+/-) by certain factors including but not limited to part geometry and ...
2,2,Tailoring powder strengths for enhanced quality of cold sprayed ...,https://www.sciencedirect.com/science/article/pii/S0264127522001150,Initial observation of grain orientation dependent nanoindentation hardness of Al 6061 gas-atomized powder ... Machinability of Al 6061 deposited with cold spray ...
3,3,Stress Corrosion Cracking Resistance of Cold-Sprayed Al 6061 ...,https://www.mdpi.com/2079-6412/9/7/445,The stress corrosion cracking (SCC) response of Al 6061 bulk deposits produced by high-pressure cold spray (HPCS) was investigated and compared to ...
4,4,Precipitation behavior of cold sprayed Al6061 coatings - ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S2589152922001934,studied Inter-splat bonding strength in cold spray deposited Al-6061 alloy ... Luzin et al. Residual stress and thermo-mechanical properties of cold spray metal ...
5,5,Cold spray process depiction with gas-atomized Al 6061 feedstock ...,https://www.researchgate.net/figure/Cold-spray-process-depiction-with-gas-atomized-Al-6061-feedstock-a-is-a-schematic_fig1_344155675,"... to the point, the orthogonal orientation relative to the cold spray direction of supersonic particle deposition was found to have a lower hardness than the ..."
6,6,Mechanical Properties of Cold Sprayed Aluminium 2024 and 7075 ...,https://www.mdpi.com/2226-4310/9/2/65,"Jan 26, 2022 ... For cold spray repair of such components, the microstructure, tensile, peel, bearing, and bending strength from the repair process and powder ..."
7,7,Secondary electron images of wrought Al 6061-T6 fracture surfaces ...,https://www.researchgate.net/figure/Secondary-electron-images-of-wrought-Al-6061-T6-fracture-surfaces-The-fractography_fig1_334521969,"... Al 6061 cold spray deposits. Tensile properties (elastic modulus, yield strength, tensile strength, and elongation at break) were measured in the two in ..."
8,8,Cold Spray & Surface Coating Technology Literature - Valimet,https://valimet.com/literature/cold-spray-and-surface-coating-technology/,Residual Stress and Corrosion Resistance of Aluminium Coatings Deposited by Cold Spray ... The stress corrosion cracking (SCC) response of Al 6061 bulk ...
9,9,Comparing Relative Bond Characteristics Between Spherical and ...,https://link.springer.com/article/10.1007/s11666-022-01448-3,"Aug 10, 2022 ... ... elongated aluminum alloy- Al-6061 feedstock particles. The splat ... stress measurement and obtained the thickness stress profiles of cold spray ..."
10,10,Critical Assessment 11: Structural repairs by cold spray,https://www.tandfonline.com/doi/full/10.1179/1743284714Y.0000000723,"When annealed, cold spray deposit strength decreases, but elongation and ductility increase. 5. Comparison of cold sprayed 6061 aluminium characteristics with ..."
11,11,Laser Assisted Cold Spray of Aluminum Alloy 6061,https://repository.library.northeastern.edu/files/neu:ms35xq669/fulltext.pdf,Ultimate tensile stress (UTS) and percent elongation at fracture (%EL) were obtained from the tensile tests and summarized in Figure 12. The temperature of the ...
12,12,Initial Observation of Grain Orientation Dependent Nanoindentation ...,https://www.vibgyorpublishers.org/content/ijmmp/fulltext.php?aid=ijmmp-5-050,"Mar 26, 2020 ... Figure 5: Optical image of cold spray Al 6061 etched..... Optical ... Hardness of Al 6061 Gas-atomized Powder. Int J Metall Met Phys 5 ..."
13,13,Aging Time Effects on the Mechanical Properties of Al 6061-T6 Alloy ...,https://etasr.com/index.php/ETASR/article/view/2102,... hardness and tensile strength (mechanical properties) of Al 6061-T6 alloy. ... Sintering of Cold Spray Additively Manufactured Aluminum 6061. Journal of ...
14,14,2021-22 Ivan Petrov - Scott Julien - ASM Boston Chapter,https://www.asmboston.org/2021-22-ivan-petrov---scott-julien2.html,"Mar 17, 2022 ... ... Al 6061 cold spray deposits were studied. Tensile properties (elastic modulus, yield strength, tensile strength, and elongation at break) ..."
15,15,Cold-Sprayed Aluminum Alloys: Exploring the Differences Between ...,https://dl.asminternational.org/itsc/article/doi/10.31399/asm.cp.itsc2024p0732/32522/Cold-Sprayed-Aluminum-Alloys-Exploring-the,"Apr 29, 2024 ... Generally, 7075 is more problematic in terms of deposition efficiency and the mechanical properties after heat treatment. The alloys were ..."
16,16,[PDF] The effect of heat treatment on the microstructure and ...,https://www.semanticscholar.org/paper/The-effect-of-heat-treatment-on-the-microstructure-Ashikin/e73509170e955cfd1d74dc55250e88b30480e71b,8 Citations · Effect of Cooling Medium and Tempering on Microstructures and Hardness of SK3 High Carbon Steel · Effect of Quenching Media on Mechanical Properties ...
17,17,Friction stir powder additive manufacturing of Al 6061 alloy ...,https://www.diva-portal.org/smash/get/diva2:1798778/FULLTEXT01.pdf,"Aug 2, 2023 ... Tensile properties and microhardness of Al 6061 alloy are closer to AA6061-T4 and better than AA6061-O alloy. Reduced thermal gradient ..."
18,18,Critical Assessment 11: Structural repairs by cold spray - V ...,https://journals.sagepub.com/doi/10.1179/1743284714Y.0000000723,"When annealed, cold spray deposit strength decreases, but elongation and ductility increase. 5 Comparison of cold sprayed 6061 aluminium characteristics with ..."
19,19,Development of High Strength Cold Sprayed Deposits - Plasma ...,https://pfl.fiu.edu/dev-of-high-strength-cold-sprayed-deposits,High-strength aluminum alloy emerges as an excellent candidate for cold spray ... Al 6061 and Al 7075. The researchers at PFL are actively working on ...
20,20,ME 4133/6133 Mechanical Metallurgy | College of Engineering ...,https://scholarsjunction.msstate.edu/metallurgy/,"... Aluminum alloy 6061 (Al 6061). The deposition efficiency, or the success with ... While cold spray can generate near-net components with high hardness ..."
21,21,Cold spray enables welding of crack-sensitive alloys - TWI,https://www.twi-global.com/media-and-events/insights/cold-spray-enables-welding-of-crack-sensitive-alloys,"Aluminium alloys 6061 and 6082 are representatives of materials which ... Besides very promising hardness results, the cold spray process also opens ..."
22,22,Metallic Micro-/Nano-Particles | Seok-Woo Lee's Research Laboratory,https://swlee.engr.uconn.edu/metallic-micro-nano-particles/,We study micro-mechanical properties of cold sprayed of Al 6061 powders onto substrates of the same alloy with various velocity (about ~1 km/s).
23,23,Sustainability assessment of machining Al 6061-T6 using Taguchi ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC11282944/,"Table 1 illustrates the chemical composition of Al 6061-T6 and Table 2 shows its mechanical properties. ... [90]). Hardness (HV), Yield Strength (MPa), Tensile ..."
24,24,repair and corrosion protection using high pressure cold spray,https://www.dau.edu/sites/default/files/Migrated/CopDocuments/Repair%20and%20Corrosion%20Protection%20using%20High%20Pressure%20Cold%20Spray.pdf,Cold spray properties and reference micrographs. Sample De- scription. Cold Spray. Ecorr [mV]. Substrate. Ecorr [mV]. Anode pre- diction. Al 6061 CS on Al 6061-.
25,25,‪Daniel NELIAS‬ - ‪Google Scholar‬,https://scholar.google.fr/citations?user=iioMiIsAAAAJ&hl=fr,"Effects of heat treatments on the microstructure and mechanical properties of a 6061 aluminium alloy. D Maisonnette, M Suery, D Nelias, P Chaudet, T Epicier."
26,26,Cold spray coating: review of material systems and future perspectives,https://re.public.polimi.it/retrieve/e0c31c0d-b8c8-4599-e053-1705fe0aef77/Cold%20spray%20coating_11311-968457_Guagliano_1.pdf,"To overcome the problem, a second particle population with either a larger average particle diameter or higher yield strength. (hardness/elastic modulus) should ..."
27,27,Timothy Eden | Materials Research Institute,https://www.mri.psu.edu/mri/personnel-directory/tje1,"... -sprayed al 6061 deposits using a newly developed test fixture, Coatings, 2019. Properties for AA7050 deposits produced by the cold spray process, 2019."
28,28,‪Anthony Spangenberger‬ - ‪Google Scholar‬,https://scholar.google.com/citations?user=SwzzG3YAAAAJ&hl=en,"Mechanical properties and growth mechanisms of long and small fatigue cracks in as-deposited bulk cold spray Al-6061. CM Sample, AG Spangenberger, VK Champagne, ..."
29,29,Strength gradient in impact-induced metallic bonding | Nature ...,https://www.nature.com/articles/s41467-024-53990-z,"Nov 7, 2024 ... From a physical point of view, the interfacial strength cannot exceed the instantaneous flow stress of the deformed base metal at the moment of ..."
30,30,Coating deposition in cold spray process | DR-NTU,https://dr.ntu.edu.sg/bitstream/10356/66531/1/Coating%20Deposition%20in%20Cold%20Spray%20Process.pdf,"Nov 23, 2024 ... 3 Mechanical Properties Evaluation. A total of five microhardness measurements were obtained from the Al-6061 cold spray coating. An average ..."
31,31,Microstructural and Micromechanical Characterization of Feedstock ...,https://pdfs.semanticscholar.org/50fb/d405f019d36e36ca985e85c0d7171596d74e.pdf,"Jul 29, 2022 ... depicts a graph of the average hardness for Al 6061, Al 2024, Al 7075, and Al 5056. ... yield and ultimate tensile strength of the powder from the ..."
32,32,What is hybrid aluminium matrix composites,https://irp-cdn.multiscreensite.com/1c894898/files/uploaded/vipojobajoxu.pdf,"... aluminum has been demonstrated to increase hardness, yield strength, and ... strength in CS deposits using gas-atomized AA 6061 powder. The results ..."
33,33,Nano-additive manufacturing of multilevel strengthened aluminum ...,http://www.ijemnet.com/article/pdf/preview/10.1088/2631-7990/ac9ba2.pdf,"(d) Compression of stress–strain curves (in Y direction) of Al, Al–Al2O3, and nano Al 6061–Al2O3 under compression. (e), (f) Hardness of the present composites ..."
34,34,A critical analysis of collision dynamics pertaining to aluminum micro ...,https://ijsra.net/sites/default/files/IJSRA-2022-0354.pdf,"Jan 1, 2023 ... Cold spray (CS) is a form of additive manufacturing process, involving the accumulation of ductile metal micro particles to create new surface ..."
35,35,Process-Structure-Property Relations for As-Deposited Solid-State ...,https://www.osti.gov/servlets/purl/1781824,"D AA6061 experienced a 20% reduction in Vickers hardness, for the optimized parameters, compared to the feedstock (AA6061-T651) material [23]. Similarly, ..."
36,36,Metal Powders for Additive Manufacturing,https://www.eckart.net/download/document/view/id/27/,AMspheres Aluminium Powder . . 10. AMspheres Zirconium Powder . . . 12 ... Yield Strength (MPa). 350 – 385. 310. 390 – 440. Elongation (%). 12 – 15. 20. 10 ...
37,37,Toyal Toyo Aluminium K.K. | Product Information | Powder & Paste ...,https://www.toyal.co.jp/eng/products/pw_pt/product/powdalloy.html,"... aluminium- based alloys respond to any market request for metal composition. ... • Typical compositions for Cold Spray: A2024, A5083, A6061, A7050, A7075 ..."
38,38,"Cold gas spray coatings: basic principles, corrosion protection and ...",https://www.redalyc.org/journal/429/42955131003/html/,"Dec 30, 2017 ... ... point and low yield strength. For these metals and their alloys, the ... The effect of pure aluminum cold spray coating on corrosion ..."
39,39,Effects of cold rolling and annealing time on fatigue resistance of ...,https://www.ije.ir/article_135177_384ae34e6ddfb4619ce9baad65862484.pdf,"strength and hardness of Al-Mg aluminum alloy because of the improved dislocation density [7]. However, the ductility of the cold-rolled aluminum alloys is ..."
40,40,F1 approves two Elementum 3D aluminium materials for 2021 season,https://www.metal-am.com/f1-approves-two-elementum-3d-aluminium-materials-for-2021-season/,"Jun 8, 2020 ... Traditional high-strength aluminium alloys are known to suffer from ... Titomic co-develops new Cold Spray standard for Aerospace with SAE ..."
41,41,Solid-State-Additive-Manufacturing-of-Aluminum-and-Magnesium ...,https://meldmanufacturing.com/wp-content/uploads/2018/04/Solid-State-Additive-Manufacturing-of-Aluminum-and-Magnesium-Alloys.pdf,"Figure 10: Mechanical properties of AFS WE43 powder deposit. (a) Hardness profile across the WE43 deposit shows an average hardness of 72.6±1.7VHN, and (b) ..."
42,42,‪Gajanan Koli‬ - ‪Google Scholar‬,https://scholar.google.co.in/citations?user=H1fjakkAAAAJ&hl=en,"Effect of granite particulate on tensile properties & hardness of aluminium 6061 based metal matrix composite. KG Chandrashekhar, DP Girish, HN Girisha."
43,43,Sustainability assessment of machining Al 6061-T6 using Taguchi ...,https://www.cell.com/heliyon/pdf/S2405-8440(24)09757-3.pdf,"Jun 29, 2024 ... Table 1 illustrates the chemical composition of Al 6061-T6 and Table 2 shows its mechanical properties. ... [90]). Hardness (HV). Yield Strength ( ..."
44,44,Sustainability assessment of machining Al 6061-T6 using Taguchi ...,https://www.cell.com/heliyon/fulltext/S2405-8440(24)09757-3,"Table 1 illustrates the chemical composition of Al 6061-T6 and Table 2 shows its mechanical properties. ... Yield Strength (MPa), Tensile Strength (MPa) ..."
45,45,Effect of ball milling on graphene reinforced Al6061 composite ...,https://web.me.iastate.edu/wang/2014_Composites_B.pdf,"Dec 31, 2013 ... As the milling time increased, the sharp decrease in the size of the ductile dimples of the fracture surface indicated that the ductility of the ..."
46,46,processed 6061-t6 aluminum: Topics by Science.gov,https://www.science.gov/topicpages/p/processed+6061-t6+aluminum.html,Modeling the Hot Ductility of AA6061 Aluminum Alloy After Severe Plastic Deformation ... The tensile strength and the tensile elongation of Al 6061-T651 decreased ...
47,47,Complete Guide to Aluminum 3D Printing | All3DP Pro,https://all3dp.com/1/3d-printing-aluminum/,... strength (tensile strength around 500 MPa when heat treated). Aheadd is a ... Al 6061 & Al 7075. 3D manufacturers are starting to have success with ...
48,48,Christian Widener - Author and Managing Member - End Times ...,https://www.linkedin.com/in/christian-widener-25976178,"Cold spray device and system. Issued October 15, 2019 US US10441962B2, CA2862459C, AU2014227444B2, DE102014222062A1. Method for enhanced robotic manipulation ..."
49,49,‪Davoud Mashhadijafarlou‬ - ‪Google Scholar‬,https://scholar.google.com.my/citations?user=nlZW4YUAAAAJ&hl=en,Severe plastic deformation of tubular AA 6061 via equal channel angular pressing ... Cold Spray Deposition of Pure Titanium Coating Onto High Strength Substrate ...
50,50,Effect of the Outer Layer of Al Coatings Deposited by Cold Gas ...,https://diposit.ub.edu/dspace/bitstream/2445/173107/1/705944.pdf,"Keywords AA 7075-T6 4 aluminum 4 cold spray 4 corrosion 4 metal coatings 4 ... that affect the hardness and mechanical properties of the. CGS coatings (Ref 20, 28) ..."
51,51,‪Rizwan Abdul Rahman Rashid‬ - ‪Google Scholar‬,https://scholar.google.com.au/citations?user=IP8rN6sAAAAJ&hl=en,... mechanical properties of cold spray additively manufactured copper parts ... Al6061 aluminium parts built by cold spray additive manufacturing process. N ...
52,52,Graphene-reinforced aluminum matrix composites prepared by ...,http://ijmmm.ustb.edu.cn/article/doi/10.1007/s12613-016-1286-0,"Effect of reinforcing graphene nanoplatelets (GNP) on the strength of aluminium (Al) metal matrix nanocomposites. Materials Today: Proceedings, 2022, 61 ..."
53,53,"Powder bed fusion processes: main classes of alloys, current status ...",https://pure.fh-ooe.at/en/publications/powder-bed-fusion-processes-main-classes-of-alloys-current-status,"Jan 1, 2022 ... ... mechanical properties (such as hardness), microstructure, phase ... keywords = ""aluminium alloys, binder jetting, cold spray, high ..."
54,54,Brasil - Microstructure and Mechanical Properties of ... - SciELO,https://www.scielo.br/j/mr/a/n78qdwqSjsDVLwKpqBm7KMv/?lang=en,Optimising diffusion bonding parameters to maximize the strength of AA6061 aluminium and AZ31B magnesium alloy joints. ... mechanical properties of Mg-AZ31/Al- ...
55,55,Substrate Texture Influence on the Dry Sliding Wear Behaviour of ...,https://www.imim.pl/files/archiwum/Vol3_2023/31.pdf,"May 30, 2023 ... ticle velocity on fatigue performance of cold spray coated a6061 ... adhesion strength of EB-PVD ZrO2-%8wtY2O3, Ceram. Int. 46,. 2287-2293 ..."
56,56,https://dergipark.org.tr/tr/pub/deumffmd/issue/87214/1400477.xml,https://dergipark.org.tr/tr/pub/deumffmd/issue/87214/1400477.xml,Cold Spray Technology (1st ed.) ... Effect of the thickness of cold-sprayed aluminium alloy coating on the adhesive bond strength with an aluminium alloy substrate ...
57,57,Sub-Fragmentation of Structural Reactive Material Casings under ...,https://pubs.aip.org/aip/acp/article-pdf/doi/10.1063/1.4971532/7411808/040038_1_online.pdf,"... cold spray deposition and hot isostatic pressing (HIP). The former ... weight, covered with two Al 6061-T6 lids (Fig. 3). A 100 g C-4 explosive was ..."
58,58,Publications,https://home.iitm.ac.in/gphani/publications.html,The ease of cold spray deposition of Al-aerospace alloys is systematically studied and listed as Al-6061 > Cp-Al > Al-7075 > Al-2024 for the first time ...
59,59,国内共同研究員との共著査読付学術論 (2021年度),https://www.jwri.osaka-u.ac.jp/joint/result/pdf/paper_2021.pdf,"... Strength-Ductility Matched Aluminum Matrix Composites. Reinforced by Nano SiC ... (41) ""Interfacial Microstructure and Property of 6061 Aluminium Alloy/stainless ..."
60,60,Advancing the Performance of Ceramic - Reinforced Aluminum ...,https://ojs.kmutnb.ac.th/index.php/ijst/article/view/7034,"... aluminium alloys: Microstructure and properties,” Additive Manufacturing, vol. ... Ma, “Overcoming the strength-ductility trade-off of an aluminum matrix ..."
61,61,LaMCoS,https://lamcos.insa-lyon.fr/publications_hal_resultat.php?L=1&auteur=49&equipe=Toutes&type=Tous&annee=Toutes&pere=fichepers,Titre : Simulation of the Cold Spray Particle Deposition Process ... Titre : Coupled precipitation and yield strength modelling for non-isothermal treatments of a ...
62,62,Browse by Author or creator - Strathprints,https://strathprints.strath.ac.uk/view/author/22326.html,... strength aluminium. The International Journal of Advanced Manufacturing ... cold spray co-deposited AISI316 MMCs modified by friction stir processing.
63,63,Researcher Directory - Osaka University,https://rd.iai.osaka-u.ac.jp/en/595cbb2c2350e0af.html,Effect of Chemical composition of aluminum alloys on joint strength ... Relation between joint strength and microstructures of friction-bonded interfaces of ...
64,64,A Study on Strength Characteristics of Steel-Boron Composites as ...,https://iopscience.iop.org/article/10.1088/1755-1315/982/1/012022,Electrochemical corrosion performance of friction stir processed cold spray metal matrix composite coatings on AZ31B magnesium alloy under sodium chloride ...
65,65,Untitled,https://app.ssc.avcr.cz/ufp/detail.php?id=cizekj,... ductility of cold spray additively manufactured copper in the as-sprayed state. ... aluminum and the cold spray additively manufactured equivalents.
66,66,Quantitative Nondestructive Evaluation of Cold Spray Manufactured ...,https://link.springer.com/article/10.1007/s11666-024-01738-y,"Feb 28, 2024 ... ... tensile strength in cold spray (CS) produced specimens. ... Al6061 Aluminium Parts Built by Cold Spray Additive Manufacturing Process, Int."
67,67,Laser assisted cold spray of aluminum alloy 6061: Experimental ...,https://www.sciencedirect.com/science/article/abs/pii/S2214860424005943,"Sep 5, 2024 ... Summary and conclusions. For LACS of Al6061 in nitrogen, tensile ... Al6061 aluminium parts built by cold spray additive manufacturing process ..."
68,68,AA6061 | Impact Cold Spray System,https://impact-innovations.com/en/materials/aa6061/,"Tensile Strength, 155 MPa, --. Ductility, 0.25 %. Hardness, --, --. Impact Innovations Cold Spray Systems. Products. Renowned companies from all over the world ..."
69,69,Cold Spray Additive Manufacturing: A Layered Effect — the UWA ...,https://research-repository.uwa.edu.au/en/publications/cold-spray-additive-manufacturing-a-layered-effect,"Feb 11, 2020 ... Sections of cold-spray additively manufactured (CSAM) aluminium 6061 ... tensile strength from 178±3 to 280±14 MPa (n=6) and the elongation ..."
70,70,Euler EBSD map of cold spray deposit using the feedstock Al 6061 ...,https://www.researchgate.net/figure/Euler-EBSD-map-of-cold-spray-deposit-using-the-feedstock-Al-6061-powder-showing-a-large_fig14_333737668,Download scientific diagram | Euler EBSD map of cold spray deposit using the feedstock Al 6061 powder showing a large distribution of LAGBs (between 1° and ...
71,71,"What is Cold Spray | VRC Metal Systems | Box Elder, SD",https://vrcmetalsystems.com/what-is-cold-spray/,"Al 6061. The most common high strength Al alloy, cold spray strengths > 40 ... Adhesion > 10 ksi [68 MPa] Tensile strength > 56 ksi [386 MPa]. 500A Cu."
72,72,THANK YOU TO OUR PLATINUM SPONSORS,https://www.coldsprayteam.com/_files/ugd/0c16db_07895f1f1b414d938f2cdcd87b5a17d9.pdf?index=true,"Jun 12, 2024 ... Work continues transitioning cold spray to aircraft part repair with updated tensile and fatigue geometries. ... Al 6061 powder on cold spray ..."
73,73,Experimental Studies into the Analysis Required for the Durability ...,https://research.monash.edu/files/320575334/320512827_oa.pdf,"Aug 19, 2020 ... particles in a 6061 aluminium matrix, which in this study is referred to as AMC. ... and Interfacial Stability in Cold-Spray 6061 Aluminum Alloys ..."
74,74,Novel Technique for Design and Manufacture of Alternating ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC9611037/,... cold spray additive manufacturing (CSAM) [9] ... The Effect of the Friction Stir Welding Tool Shape on Tensile Properties of Welded Al 6061-T6 Joints.
75,75,Corrosion Repair Using Cold Spray Technology,https://www.sto.nato.int/publications/STO%20Meeting%20Proceedings/STO-MP-AVT-373/MP-AVT-373-19.pdf,"Therefore, the coatings are great under compressive forces but weaker against tensile forces. Cold Spray is a part of the thermal spray process but has low ..."
76,76,Implementation of Cold Spray technology in Navy Shipyards and ...,https://www.nsrp.org/wp-content/uploads/2021/03/ManTech-Project-Implementation-of-Cold-Spray-technology-in-Navy-Shipyards-and-Future-of-Cold-Spray.pdf,• Tensile. • Wear. • Mockup. Upper ring – repaired. Lower ring – not ... TD-16 Al-6061. Hydraulic Actuator. Body. As-received. Pre-machined. As-deposited.
77,77,A meshless computational framework for studying cold spray ...,https://www.nature.com/articles/s41598-024-62091-2,"May 18, 2024 ... Microstructure and micromechanical response in gas-atomized al 6061 alloy powder and cold-sprayed splats. ... Metal Cold Spray process for coating ..."
78,78,Economic impact of Cold Spray in North American aerospace ...,https://www.supersonicspray.com/uploads/documents/2019.05.01%20DVS%20Welding-Cutting.pdf,"[4] Watanabe, T., et al., Ultrasonic welding of heat-treatable aluminium alloy A6061 ... of bonding, and 90º tensile bends around a 6 mm radius, without ..."
79,79,Unraveling microforging principle during in situ shot-peening ...,https://ir.library.osaka-u.ac.jp/repo/ouka/all/93379/MaterDes_236_112451.pdf,"Nov 4, 2023 ... Lupoi, Machinability of. Al 6061 deposited with cold spray additive manufacturing, J. Therm. Spray. Technol. 26 (2017) 1573–1584. [35] J.W. ..."
80,80,OZAN OZDEMIR - Mechanical and Industrial Engineering ...,https://discover-research.northeastern.edu/scholar/316609/OZAN-OZDEMIR,Quantitative Nondestructive Evaluation of Cold Spray Manufactured Aluminum Alloy 6061 and Copper Samples ... Bulk fracture anisotropy in Cold-Sprayed Al 6061 ...
81,81,Comparison of Scan Strategies for Side Roughness Optimization of ...,https://www.scientific.net/KEM.926.103,"Study of Bonding Mechanisms in Cold Spray of Metal-to-Polymer through a Numerical Approach ... Elangovan, Effect of welding processes on tensile properties of ..."
82,82,‪Novana Hutasoit‬ - ‪Google Scholar‬,https://scholar.google.com/citations?user=TS8yiJYAAAAJ&hl=en,"Effects of build orientation and heat treatment on microstructure, mechanical and corrosion properties of Al6061 aluminium parts built by cold spray additive ..."
83,83,Analysis of Microstructure and Mechanical Properties of AZ31B ...,https://pdfs.semanticscholar.org/b627/caeac55153eb159e267c3e7593ff49deb4e8.pdf,"Jan 25, 2021 ... Ultrasonic spot welding of magnesium-to-aluminum alloys with a copper interlayer: microstructural evolution and tensile properties. J. Manuf ..."
84,84,Effect of powder particle size on microstructure and properties of low ...,https://iopscience.iop.org/article/10.1088/2053-1591/ab6fac,"Feb 10, 2020 ... Figure 4 shows the tensile fracture morphology of high-aluminum bronze coatings and elemental scanning results. ... cold-spray 6061 aluminum alloy ..."
85,85,"Residual stress development in cold sprayed Al, Cu and Ti coatings",https://coldsprayclub.minesparis.psl.eu/wp-content/uploads/2021/01/T-SUHONEN_IN-SITU-RESIDUAL-STRESS-MONITORING-DURING-COLD-SPRAY-DEPOSITION_VTT-FINLAND_EUCOSS2014.pdf,"... cold spray system, 2 = CS substrate, ground, 3. = CS substrate, normal grit ... either compressive or tensile dependent on the a) density of particles and."
86,86,HARD ANODIC FILMS FOR ALUMINIUM ALLOYS,https://pure.manchester.ac.uk/ws/files/83388174/FULL_TEXT.PDF,"grown on AA 6061-T6 alloy under the process conditions presented in Table 1.4. ... anodize of cold spray aluminum layer,” 2010. [149] E. Zalnezhad ..."
87,87,Analysis of Microstructure and Mechanical Properties of AZ31B ...,https://www.scielo.br/j/mr/a/Tfdbn3Qctv5HZ3N77KqQccH/?format=pdf&lang=en,"Jan 25, 2021 ... Ultrasonic spot welding of magnesium-to-aluminum alloys with a copper interlayer: microstructural evolution and tensile properties. J. Manuf ..."
88,88,Brasil - Analysis of Microstructure and Mechanical ... - SciELO,https://www.scielo.br/j/mr/a/Tfdbn3Qctv5HZ3N77KqQccH/?lang=en&format=html,The base metal AZ31 magnesium alloy and AA6061 aluminium alloy have the ... aluminum alloys with a copper interlayer: microstructural evolution and tensile ...
89,89,Сонар Тушар Мадхукар - Южно-Уральский государственный ...,https://www.susu.ru/ru/employee/sonar-tushar-madhukar,"... tensile properties, and microstructure of Ti6Al4V alloy joints / V.. ... Ultrasonic spot-welding of AA 6061-T6 aluminium alloy: Optimization of ..."
90,90,Fatigue Behavior of Fastener Holes in High Strength Aluminum ...,https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/ffe.13144,"Some interface cracking was seen in the CS repairs, however no separation of the repair from the substrate was observed. I. INTRODUCTION. Cold spray (CS) is a ..."
91,91,Indigenously developed Cold spray technology can reduce costs of ...,https://dst.gov.in/indigenously-developed-cold-spray-technology-can-reduce-costs-repair-engineering-components,"Oct 27, 2023 ... ... Aluminium and alloys 2024, 6061 and 7075 and carrying out mechanical tests. ARCI has prepared to launch cold spray technology to the market ..."
92,92,"Metal Fabrication Singapore | Steel, Aluminium - Chong Fong",https://chongfong.com/services/metal-fabrication-singapore/,"Cold Spray Process Monitoring · GRIT ... tensile steel (S355, alloy steel 4340, weldox SQ690L etc), stainless steel (SS304L, SS316L) and aluminium (Al6061-T6)."
93,93,Making metals work longer and harder than ever before...,https://www.wits.ac.za/media/wits-university/faculties-and-schools/-engineering-and-the-built-environment/mechanical-industrial-aeronautical-engineering/documents/cold-spray-applications-brochure.pdf,"Cold spray operates at much lower temperatures than thermal spray and uses primarily kinetic energy to create solid-state bonded coatings, instead of melting."
94,94,Thilo MORGENEYER,https://matperso.minesparis.psl.eu/Personnel/thilo.morgeneyer/&?lang=en,... aluminium alloys' à l'Université de Southampton (UK) et Mines ParisTech; 2004 ... tensile and fatigue properties of weak zones of similar Ti17 linear ...
95,95,Chandrakant K Nirala on LinkedIn: Comparative analysis of tool ...,https://www.linkedin.com/posts/chandrakant-k-nirala-71783823_comparative-analysis-of-tool-wear-in-micro-milling-activity-7044217203176411136-5wfv?trk=public_profile_like_view,"Mar 22, 2023 ... ... Al-6061 alloy. A 3 min peened sample demonstrated a 50% reduction in ... tensile strength of metals and alloys. The importance of ..."
96,96,Carbon Nanotube/Aluminium Composites with Uniform Dispersion,https://www.jstage.jst.go.jp/article/matertrans/45/2/45_2_602/_article/-char/ja/,... aluminum composite via in situ tensile tests. ... Mechanical and tribological properties of Self-Lubricating Al 6061 hybrid nano metal matrix composites ...
97,97,Cold spray coating: review of material systems and future perspectives,https://www.mit.edu/~mingdao/papers/2014_Surf_Eng_Moridi_cold_spray_coating_review.pdf,"Fletcher: 'Cold spray aluminium: a new generation of high temperature corrosion resistant coatings', C.S.A. (hidegen szórt alumınium): Egy új generációs ..."
98,98,Thermally Sprayed High Temperature Sandwich Structures ...,https://tspace.library.utoronto.ca/bitstream/1807/76817/3/Salavati_Saeid_201611_PhD_thesis.pdf,The cold spray ... sprayed alloy 625 tensile test samples consists of only a linear region that suggests negligible ... flexural behaviour of aluminium foam ...
99,99,Gazi University Journal of Science Part C: Design and Technology ...,https://dergipark.org.tr/en/pub/gujsc/issue/41140/389828,"Dec 30, 2018 ... ... cold spray ... Nový, Fatigue life of AW 7075 Aluminium Alloy after Severe Shot Peening Treatment with Different Intensities. ... tensile behavior of ..."
